num,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv,0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,82,228965
1,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB,0.0483,0.604,0.428,0.0,0.126,-8.441,0.0255,110.259,0.292,79,293048
2,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,3,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD,0.137,0.596,0.563,0.0,0.302,-7.362,0.0269,97.073,0.481,80,203801
3,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,0.56,0.541,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,82,261228
4,"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,5,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,80,262974
5,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,6,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,0.384,0.521,0.72,0.0,0.135,-7.684,0.104,79.943,0.438,81,340428
6,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz,0.624,0.33,0.483,0.0,0.111,-9.394,0.0399,87.115,0.34,78,210789
7,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,8,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,0.178,0.533,0.573,0.0,0.309,-7.123,0.138,150.088,0.398,79,215463
8,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,9,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,0.607,0.626,0.428,0.0,0.0921,-8.374,0.0261,94.95,0.487,82,254365
9,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,10,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,0.315,0.606,0.338,0.0,0.106,-10.555,0.048,119.88,0.238,81,334084
10,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,11,5chnRTB9qMK3W1M41SnU9s,spotify:track:5chnRTB9qMK3W1M41SnU9s,0.768,0.661,0.257,1.72e-06,0.176,-13.961,0.045,106.896,0.318,77,156297
11,loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,12,3YkNIrAvbKNrrwwEd7NVLl,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,0.858,0.423,0.272,0.0,0.108,-12.56,0.0489,78.539,0.195,80,277156
12,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,13,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,0.123,0.701,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,82,218004
13,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,14,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63,0.52,0.426,0.41,0.0,0.338,-9.083,0.0581,142.377,0.263,81,245541
14,The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,15,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,0.422,0.64,0.421,0.0,0.103,-8.802,0.0273,100.056,0.353,78,196900
15,Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,16,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,76,216662
16,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,17,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.707,0.527,0.27,0.0,0.102,-10.855,0.038,154.042,0.23,79,238857
17,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,18,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.608,0.784,0.391,0.0,0.252,-9.471,0.0633,110.007,0.15,81,222072
18,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,19,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.655,0.352,0.479,0.0,0.0935,-8.942,0.0583,172.013,0.292,77,183878
19,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,20,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.78,0.516,0.451,0.0,0.105,-8.552,0.0446,70.266,0.218,77,213281
20,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,21,5Bedn0svl0ZD7RGmJkmKKw,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80,238706
21,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,22,7Mts0OfPorF4iwOomvfqn1,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0274,0.366,0.866,3.07e-06,0.106,-4.514,0.0466,176.07,0.293,82,228800
22,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,23,3hlGuz3loYoLfI3bpwieWq,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.717,0.485,0.562,0.0,0.357,-7.197,0.0346,105.953,0.297,78,243875
23,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,24,7ogK4lJDVDMU6A6vYR5rvD,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.609,0.609,0.541,0.0,0.122,-8.013,0.0346,95.997,0.252,76,263817
24,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,25,1Zai5UJ2di3qEuR2HeT2s8,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.69,0.763,0.274,0.0,0.164,-11.429,0.0738,90.796,0.385,76,131907
25,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,26,18WFFUIsewmA8g31KAeo3e,spotify:track:18WFFUIsewmA8g31KAeo3e,0.825,0.421,0.525,2.67e-06,0.308,-10.359,0.0472,167.927,0.535,81,249807
26,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,27,0g4fMVo4JjwnIpTfFfLdxS,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,0.806,0.587,0.587,0.0,0.137,-9.879,0.0595,139.963,0.514,76,240205
27,Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,28,3zMDGj4D8ogaYgAIZPeU7S,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,0.805,0.342,0.376,0.0,0.0593,-8.212,0.0372,176.859,0.29,77,283957
28,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,29,2913xXOVAIDAqxzV2g4VcU,spotify:track:2913xXOVAIDAqxzV2g4VcU,0.638,0.455,0.586,0.0,0.131,-7.978,0.0492,183.694,0.481,77,238241
29,Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,30,2CnjDMdpRjlWv04Xk3s6MW,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,0.791,0.476,0.386,0.000423,0.1,-10.601,0.03,138.265,0.158,73,240893
30,The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,1DTRUYVd8rYpla9hhVVwjo,spotify:track:1DTRUYVd8rYpla9hhVVwjo,0.901,0.509,0.256,2.43e-06,0.103,-11.665,0.0306,94.184,0.436,74,224743
47,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,1,4WUepByoeqcedHoYhSNHRt,spotify:track:4WUepByoeqcedHoYhSNHRt,0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,62,212600
48,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,2,0108kcWLnn2HlH2kedi1gn,spotify:track:0108kcWLnn2HlH2kedi1gn,0.0901,0.732,0.719,0.0,0.331,-5.469,0.0645,96.035,0.71,64,231833
49,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,3,3Vpk1hfMAQme8VJ0SNRSkd,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd,0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,65,231000
50,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,4,1OcSfkeCg9hRC2sFKB4IMJ,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ,0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,63,235800
51,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,5,2k0ZEeAqzvYMcx9Qt5aClQ,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ,0.000778,0.589,0.713,0.0,0.188,-5.614,0.0308,97.069,0.54,62,193289
52,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,6,50yNTF0Od55qnHLxYsA5Pw,spotify:track:50yNTF0Od55qnHLxYsA5Pw,0.0112,0.632,0.805,2.51e-05,0.156,-5.707,0.069,160.052,0.903,62,219209
53,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,7,3FxJDucHWdw6caWTKO5b23,spotify:track:3FxJDucHWdw6caWTKO5b23,0.00388,0.671,0.853,9.48e-06,0.0812,-6.568,0.0417,118.032,0.523,61,207650
54,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,8,7oZONwFiFIErZcXAtTu7FY,spotify:track:7oZONwFiFIErZcXAtTu7FY,0.0369,0.624,0.711,3.13e-06,0.19,-6.347,0.159,169.999,0.347,61,211103
